,title,author,count,asin_list,narrator_count,narrator_list
1497,Before the Fall,Noah Hawley,3,"['B0761YJJVN', 'B01DDUHR6S', '1549146602']",2,"['Jeff Harding', 'Robert Petkoff']"
1498,Black Notice,Patricia Cornwell,3,"['B00SHZT7RC', 'B00LPQRVCS', 'B0032N4ZXA']",3,"['Roberta Maxwell', 'Lorelei King', 'Kate Reading']"
1499,The Wife's Tale,Lori Lansens,3,"['B0036KMJVE', 'B005GGGKXO', '0735278652']",2,"['Laurel Lefkow', 'Justine Eyre']"
1500,Bad Blood,Linda Fairstein,3,"['B004X2HDJC', 'B0036KSBXY', 'B002VA99AY']",2,"['Blair Brown', 'Barbara Rosenblat']"
1504,The Loop,Nicholas Evans,3,"['B002V0QG14', 'B01DUYON5U', 'B002V5GZCE']",3,"['Laurel Lefkow', 'Stephen Lang', 'Michael Kramer']"
1506,The Mephisto Club,Tess Gerritsen,3,"['B002V1LRAS', 'B002V5A02U', 'B00PUPXQAQ']",3,"['Carolyn McCormick', 'Kathe Mazur', 'Lorelei King']"
1512,Black Jack,Max Brand,3,"['1988565170', 'B002V57OS8', 'B07Q1K4PZB']",3,"['Zachary Cowan', 'Richard Kilmer', 'Patrick Cullen']"
1513,In the Heart of the Sea,Nathaniel Philbrick,3,"['B002V5B7U4', 'B002VA9UTE', 'B017TCOS9K']",2,"['Edward Herrmann', 'Scott Brick']"
1514,The One-in-a-Million Boy,Monica Wood,3,"['B01E5126C4', '1974928691', 'B0198SWY9O']",2,"['Chris Andrew Ciulla', 'Chris Ciulla']"
1517,The Burnt House,Faye Kellerman,3,"['B002VA8MLQ', 'B002V8HCPK', 'B0036GROB8']",2,"['Mitchell Greenberg', 'George Guidall']"
1518,Seabiscuit,Laura Hillenbrand,3,"['B0049Q38VE', 'B002UZN56Y', 'B00DRFUAZK']",2,"['Campbell Scott', 'George Newbern']"
1519,The Vanished Man,Jeffery Deaver,3,"['B008DYH9OK', 'B014LJTKWO', 'B002V1A1XC']",3,"['Jeff Harding', 'Adam Grupper', 'George Guidall']"
1521,The Van Apfel Girls Are Gone,Felicity McLean,3,"['1684571758', '1460790332', '0655621911']",2,"['Eloise Oxer', 'Cat Gould']"
1522,An Absolute Scandal,Penny Vincenzi,3,"['B002V5IRUW', 'B0089ZON2E', 'B0032N2GN6']",3,"['Jilly Bond', 'Samantha Bond', 'Rosalyn Landor']"
1526,Trojan Odyssey,Clive Cussler,3,"['B002V1CEGO', 'B002V8HL6U', 'B005OCXGA0']",2,"['Scott Brick', 'Ron McLarty']"
1528,Courting Trouble,Lisa Scottoline,3,"['B002VA8IYC', 'B002V8N682', 'B077DPXKMX']",2,"['Barbara Rosenblat', 'Kate Burton']"
1529,Daughters-in-Law,Joanna Trollope,3,"['B009ZI00B2', 'B005BH1RPE', 'B004LSRZXC']",3,"['Fenella Woolgar', 'Julia Franklin', 'Rosalyn Landor']"
1530,The Little Friend,Donna Tartt,3,"['B002UUQWH8', 'B00UZGV15C', 'B002V02W8U']",3,"['Karen White', 'Donna Tartt', 'Laurel Lefkow']"
1532,Black Wind,"Clive Cussler, Dirk Cussler",3,"['B002V0QRHW', 'B002V0RKWI', 'B005OCWYGC']",2,"['Scott Brick', 'Ron McLarty']"
1534,Phineas Redux,Anthony Trollope,3,"['B0046ZHKIU', '1781981590', 'B007PULSMC']",3,"['Simon Vance', 'Timothy West', 'David Shaw-Parker']"
1535,A Man Called Ove,Fredrik Backman,3,"['B00MEL8VSG', '197492856X', 'B00LAAUVCQ']",2,"['Joan Walker', 'George Newbern']"
1536,Black Powder War,Naomi Novik,3,"['B07LB7WQX2', 'B002V1NQAM', 'B002VA8IVU']",2,"['Simon Vance', 'David Thorn']"
1537,Of Human Bondage,W. Somerset Maugham,3,"['B004N0K76U', 'B008G0BVQS', 'B077S3JJ16']",3,"['David McCallion', 'Charlton Griffin', 'Steven Crossley']"
1538,The Murder on the Links,Agatha Christie,3,"['B07L76697Q', 'B008CQJQOA', 'B0036GROSG']",2,"['Charles Armstrong', 'Hugh Fraser']"
1539,Phineas Finn,Anthony Trollope,3,"['B003KS7JYO', 'B073C56L8J', 'B002VACGWM']",3,"['Robert Whitfield', 'Timothy West', 'David Shaw-Parker']"
1542,The Varieties of Religious Experience,William James,3,"['B004TC0X0C', 'B002VA984G', 'B087QLVG18']",3,"['Jim Killavey', 'Lee Winfield', 'John Pruden']"
1545,The Reapers,John Connolly,3,"['B00507GBDI', 'B00700TXN8', 'B002UZMO48']",3,"['Jay O. Sanders', 'Jeff Harding', 'George Guidall']"
1546,The Autobiography of an Ex-Colored Man,James Weldon Johnson,3,"['B004MARCQ4', 'B006JQ36NM', 'B00AJT2VRM']",3,"['Alan Bomar Jones', 'Richard Allen', 'Bill Andrew Quinn']"
1549,What Got You Here Won't Get You There,"Marshall Goldsmith, Mark Reiter",3,"['B002V8LMDS', 'B07QY9XBDK', 'B002V9Z20G']",3,"['Marc Cashman', 'Jared Vanderbeck', 'Marshall Goldsmith']"
1551,Sir Harry Hotspur of Humblethwaite,Anthony Trollope,3,"['B002V1AHBI', 'B00AZ2QPA2', 'B07NNMTTVM']",3,"['Tony Britton', 'David Beed', 'Flo Gibson']"
1554,The Meaning of Night,Michael Cox,3,"['B0036NA42C', 'B002V0A5VQ', 'B0032NAKKW']",2,"['Peter Eyre', 'David Timson']"
1556,The Apprentice,Tess Gerritsen,3,"['B002V5B4Q6', 'B002V1M5J0', '1473582997']",2,"['Anna Fields', 'Dennis Boutsikaris']"
1557,This Sceptred Isle,Christopher Lee,3,"['B002V0KLXS', 'B002V5D5XG', 'B002V8LMIS']",2,"['various', 'Juliet Stevenson']"
1558,Treason's Harbour,Patrick O'Brian,3,"['B002V5BR54', 'B00BGBRYNS', 'B002V1K4X4']",3,"['Ric Jerrom', 'Patrick Tull', 'Tim Pigott-Smith']"
1559,The Nowhere Child,Christian White,3,"['1250315751', 'B07DV325XN', '0008276579']",3,"['Katherine Littrell', 'Kirsty Gilmore', 'Stef Smith']"
1560,A Most Wanted Man,John le Carré,3,"['B003A2SAA2', 'B002UZLE2Q', 'B002V1L9T2']",3,"['Roger Rees', 'John le Carré', 'Michael Jayston']"
1561,Harlequin,Bernard Cornwell,3,"['B00P1NCV6W', 'B00IT6130I', 'B007RG839A']",2,"['Tim Pigott-Smith', 'Andrew Cullum']"
1567,A Fine Balance,Rohinton Mistry,3,"['B002VA9IQY', 'B07DQYFBV7', 'B002V59U2Q']",3,"['John Lee', 'Madhur Jaffrey', 'Vikas Adam']"
1568,Shatter,Michael Robotham,3,"['B00RKJGIGO', 'B0032N2UNC', 'B0032N8UGI']",2,"['Sean Barrett', 'Tim Pigott-Smith']"
1574,The Power of Your Subconscious Mind,Joseph Murphy,3,"['B002ZF36FY', 'B014S34W6M', 'B0036GMFTO']",3,"['Jason Culp', 'Jason McCoy', 'Clay Lomakayu']"
